"date","InternationalGDP_Germany_GDP","InternationalGDP_France_GDP","InternationalGDP_Italy_GDP","InternationalGDP_Spain_GDP","InternationalGDP_Belgium_GDP","NonFinancialCorporations_GrossValueAdded_12","NonFinancialCorporations_GrossOperatingSurplus_13","NonFinancialCorporations_GrossProfitsBeforeTaxes_14","NonFinancialCorporations_ProfitsFromForeignSubsidiaries_15","NonFinancialCorporations_ratios_ProfitRatio_16","NonFinancialCorporations_ratios_CapitalFormationRatio_17","FinancialCorporations_GrossValueAdded_19","FinancialCorporations_GrossProfitsBeforeTaxes_20","FinancialCorporations_ProfitsFromForeignSubsidiaries_21","FinancialCorporations_FinancialNetWorth_22","FinancialCorporations_PropertyIncomeReceived_23","FinancialCorporations_PropertyIncomePaid_24","FinancialCorporations_FinancialAssetsOfPensionFunds_26","MacroComponents_GrossDomesticProduct_2_seasonCorrected_expenditure","MacroComponents_Total_3_seasonCorrected_expenditure","MacroComponents_ImportsOfGoods_4_seasonCorrected_expenditure","MacroComponents_ImportsOfServices_5_seasonCorrected_expenditure","MacroComponents_HouseholdsIncludingNPISHs_9_seasonCorrected_expenditure","MacroComponents_GeneralGovernment_10_seasonCorrected_expenditure","MacroComponents_Total_11_seasonCorrected_expenditure","MacroComponents_EnterprisesAndHouseholds_12_seasonCorrected_expenditure","MacroComponents_GeneralGovernment_13_seasonCorrected_expenditure","MacroComponents_ChangesInInventoriesInclValuables_14_seasonCorrected_expenditure","MacroComponents_ExportsOfGoods_16_seasonCorrected_expenditure","MacroComponents_ExportsOfServices_17_seasonCorrected_expenditure","SectorProduction_AAgricultureForestryAndFishing_20_seasonCorrected_production","SectorProduction_BMiningAndQuarrying_22_seasonCorrected_production","SectorProduction_DElectricityAndGasSupply_35_seasonCorrected_production","SectorProduction_EWaterSupplyAndWasteManagement_36_seasonCorrected_production","SectorProduction_FConstruction_37_seasonCorrected_production","SectorProduction_JInformationAndCommunication_43_seasonCorrected_production","SectorProduction_KFinancialInstitutions_44_seasonCorrected_production","SectorProduction_LRentingBuyingSellingRealEstate_45_seasonCorrected_production","SectorProduction_RUCultureRecreationOtherServices_59_seasonCorrected_production","SectorProduction_TaxesLessSubsidiesOnProducts_60_seasonCorrected_production","SectorProduction_TaxesOnProducts_61_seasonCorrected_production","BusinessConfidence_All.enterprises..no.finance.or.energy._BusinessConfidence","BusinessConfidence_A.Agriculture..forestry.and.fishing_BusinessConfidence","BusinessConfidence_B.Mining.and.quarrying_BusinessConfidence","BusinessConfidence_C.Industry..H.S.services.and.45.47_BusinessConfidence","BusinessConfidence_C.Manufacturing_BusinessConfidence","BusinessConfidence_F.Construction_BusinessConfidence","BusinessConfidence_G.Wholesale.and.retail.trade_BusinessConfidence","BusinessConfidence_X45.Sale.and.repair.of.motor.vehicles_BusinessConfidence","BusinessConfidence_X46.Wholesale.trade..no.motor.vehicles._BusinessConfidence","BusinessConfidence_X47.Retail.trade..not.in.motor.vehicles._BusinessConfidence","BusinessSituationNextThreeMonths_All.enterprises..no.finance.or.energy.BusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_A.Agriculture..forestry.and.fishingBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_B.Mining.and.quarryingBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_C.Industry..H.S.services.and.45.47BusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_C.ManufacturingBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_F.ConstructionBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_G.Wholesale.and.retail.tradeBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_X45.Sale.and.repair.of.motor.vehiclesBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_X46.Wholesale.trade..no.motor.vehicles.BusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_X47.Retail.trade..not.in.motor.vehicles.BusinessSituationNextThreeMonths","BusinessSituationPastThreeMonths_All.enterprises..no.finance.or.energy.BusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_A.Agriculture..forestry.and.fishingBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_B.Mining.and.quarryingBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_C.Industry..H.S.services.and.45.47BusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_C.ManufacturingBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_F.ConstructionBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_G.Wholesale.and.retail.tradeBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_X45.Sale.and.repair.of.motor.vehiclesBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_X46.Wholesale.trade..no.motor.vehicles.BusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_X47.Retail.trade..not.in.motor.vehicles.BusinessSituationPastThreeMonths","BeloningSeizoengecorrigeerd_BeloningSeizoengecorrigeerd_2"
Nov 1995,160652.727410627,112853.40798265,NA,55847.2393441772,20091.1200507761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14189.6328204832
Dec 1995,159748.871889334,113061.656449549,NA,55977.888727244,20042.8324850317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14143.0996415756
Jan 1996,158134.234136158,113417.680968497,106686.606512714,56102.620077779,19952.8847669589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45125.1224496072,17844.5523784603,12873.6824130747,4745.23113770511,22797.7703729508,10583.4308784852,8234.14140613969,6722.27020962002,1496.51767287913,262.532737931133,15896.0605579924,5157.79795019661,765.669143179449,3393.03859690469,446.971052014724,227.387369193593,1901.90891251825,743.769802902033,2620.42295441393,3179.90737227819,1174.71098818723,5993.52784304171,6036.47933758478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14002.6680012183
Feb 1996,157695.774095745,113671.476371862,106713.901628178,56223.1378570785,19916.5092622215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45210.2806124018,17830.8880946151,12856.4206032687,4748.80778442628,22815.6925932377,10592.6077196213,8378.03535153493,6834.06755240501,1529.12941821978,245.633184482783,15801.2651394981,5167.69948754916,777.417285794862,3347.75964922617,445.492763003681,227.846842298398,2002.72722812956,747.192450725508,2619.60573860348,3176.97684306955,1172.67774704681,5996.63196076043,6039.6198343962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13960.5590902152
Mar 1996,158433.491768097,113823.042659641,106768.491859108,56339.4420651425,19933.7059708195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45380.596937991,17803.5595269246,12821.8969836566,4755.96107786861,22851.5370338115,10610.9614018935,8665.82324232538,7057.66223797497,1594.35290890108,211.834077586083,15611.6743025095,5187.50256225423,800.913571025688,3257.20175386914,442.536184981595,228.765788508009,2204.36385935218,754.037746372459,2617.97130698258,3171.11578465227,1168.61126476597,6002.84019619786,6045.90082801902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14016.7729085664
Apr 1996,160347.387153212,113872.379831836,106850.377205503,56451.5327019708,20004.474892753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45636.0714263747,17762.5666753888,12770.1115542384,4766.69101803209,22905.3036946722,10638.4919253018,9097.50507851108,7393.05426632992,1692.18814492303,161.135417241033,15327.2880470265,5217.20717431185,836.157998871928,3121.36491083358,438.101317948467,230.144207822426,2506.81880618611,764.305689842886,2615.51965955124,3162.32419702634,1162.5115413447,6012.15254935401,6055.32231845327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14171.3094562718
May 1996,161399.370634582,113935.104251008,106940.990637974,56580.0558346998,20057.2859536716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45890.1364786896,17780.1434559633,12758.8315312051,4795.6052395489,22976.5175888832,10662.0056121775,9353.2967286742,7596.86157367122,1746.50584523624,128.609189223996,15235.7254478859,5253.97794659237,849.350606679542,3025.63201694951,435.666612728835,231.630656784211,2687.31843825501,772.643408328328,2620.76700302997,3160.38315235011,1163.35295448086,6047.11622562754,6090.18595222188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14283.4615009943
Jun 1996,161589.442212206,114011.215917157,107040.332156523,56725.0114633295,20092.1391535754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46142.7920949357,17856.2898686479,12788.0569145565,4842.70374241901,23065.1787164446,10681.5024625207,9433.19819281473,7669.08415999886,1757.30600984073,114.255393534971,15336.9865050877,5297.81487909578,840.491394448531,2970.00307221691,435.232069322699,233.225135393364,2745.86275555888,779.050901828787,2633.71333741879,3165.29265062355,1171.13550417443,6107.73122501845,6150.49172932486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14353.2290427338
Jul 1996,160917.601886086,114100.714830283,107148.401761149,56886.3995878599,20109.0344924645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46394.0382751129,17991.0059134428,12857.7877042928,4907.98652664244,23171.2870773564,10696.9824763312,9337.20947093267,7609.72202531285,1724.58863873647,118.074030173959,15631.0712186318,5348.71797182209,809.580362178894,2954.4780766358,436.79768773006,234.927643649886,2682.45175809773,783.52817034426,2654.35866271769,3177.05269184669,1185.85919042542,6193.99754752673,6236.23964976221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14380.6120814904
Aug 1996,160944.465389991,114228.628435852,107147.967841444,57015.1969280976,20142.2824578384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46579.0711138225,18187.6804895594,12997.6296235073,4964.31732771647,23276.848859567,10715.8656225354,9373.80518726266,7644.33997265671,1729.46781690806,96.9731667032366,15833.538983044,5381.6552661371,786.167332477315,2924.23827026367,439.590826534355,236.657537976602,2659.51019015915,789.501359714934,2675.25099700415,3181.70318326746,1195.1457191691,6228.06596750875,6270.24689254989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14429.2487800617
Sep 1996,161670.032723923,114394.956733864,107039.030397408,57111.4034840426,20191.8830496972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46697.8906110646,18446.3135969978,13207.5826721999,5011.69614564109,23381.8640630766,10738.1519011333,9542.98534180467,7772.93800203044,1771.94354435547,50.9528031228049,15944.3897983242,5396.62676204081,770.252305343792,2879.28365310053,443.611485735585,238.414818373513,2677.03805174312,796.970469940806,2696.39034027817,3179.24412488586,1198.99509040547,6209.93648496452,6252.5134576879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14499.1391384479
Oct 1996,163094.30388788,114599.699724319,106821.589429041,57175.0192556948,20257.8362680408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46750.4967668391,18766.9052357579,13487.6468503707,5050.12298041631,23486.332687885,10763.8413121249,9844.74993455874,7995.51611343406,1852.01582107872,-19.9870605673364,15963.6236644724,5393.63245953321,761.835280778326,2819.61422514639,448.859665333749,240.199484840618,2735.03534284966,805.935501021878,2717.77669253975,3169.6755167019,1197.40730413453,6139.60909989403,6183.03934517625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14590.2831566487
Nov 1996,163644.44376296,114766.635678693,106671.887115169,57287.4087568368,20319.4723715961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46829.0257306534,18998.8742186295,13672.9277571354,5095.63745379789,23583.4503281734,10794.1326807791,9956.3786318282,8102.27355620942,1855.27202445049,-72.7317310643694,16042.7143826552,5435.1595392564,771.104564053215,2804.23619929806,449.026961232978,241.496037826931,2706.00815848905,817.475133025738,2748.04076120033,3179.52672712949,1201.4548794659,6110.82042870589,6154.39130816615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14658.6067937124
Dec 1996,163320.45234916,114895.764596988,106589.923455791,57448.5719874684,20376.791360363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46933.4775025075,19142.2205456126,13763.4253924939,5148.2395657858,23673.2169839416,10829.0260070959,9877.87143361307,8093.21033035653,1781.71215447078,-107.281208368294,16181.6619528724,5521.20800121039,798.060155168459,2833.14957555556,444.113373433272,242.304477332451,2589.95649866129,831.589365952384,2787.18254625992,3208.79775616861,1211.13781639958,6123.57047140008,6166.56934665759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14704.1100496389
Jan 1997,162122.329646482,114987.086479202,106575.698450907,57658.5089475897,20429.7932343415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47063.8520824013,19196.9442167072,13759.1397564464,5207.92931638007,23755.6326551898,10868.5212910753,9609.22833991333,7968.32643587539,1631.3362111396,-123.635492479111,16380.4663751243,5651.77784539516,842.702054124058,2906.35435391887,434.118901934631,242.624803357179,2386.88036336638,848.278199801819,2835.2020477185,3257.48860381927,1226.45611493557,6177.85922797662,6219.57346065058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14726.7929244281
Feb 1997,161738.251735951,115204.952090354,106829.143361506,57839.3114769278,20503.17377708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47216.8066655738,19352.6669719504,13843.7135300997,5279.90476674358,23827.7620816095,10896.7541437637,9517.64631155339,7944.61063534856,1559.4900669521,-98.4974441474818,16561.817699344,5739.33692239498,871.835988269914,2937.88978307055,427.781107608997,243.236282345477,2305.95105701787,862.991758412813,2861.80538729427,3284.29486286748,1235.19360336789,6211.28699613829,6252.39439366089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14775.6189498043
Mar 1997,162168.218617567,115549.361430444,107350.258187587,57990.9795754825,20596.9329885785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47392.3412520248,19609.3888113423,14017.1467134539,5364.16591687634,23889.6052632006,10913.724565161,9603.12534853327,8022.06292877604,1566.1737219083,-31.8670633734074,16725.7159255317,5783.88523220986,885.461957606027,2927.75586301058,425.099990456372,244.138914297344,2347.16857961575,875.730041785367,2866.99256498723,3289.21653331325,1237.35028169654,6223.85377588509,6265.03214568853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14850.5881257676
Apr 1997,163412.23029133,116020.314499471,108139.04292915,58113.513243254,20711.0708688371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47590.4558417544,19967.1097348828,14279.439306509,5460.71276677834,23941.1621999632,10919.4325552673,9865.66545085293,8200.68331615784,1651.3871760082,76.2556498431125,16872.1610536872,5785.42277483978,883.579962132397,2875.95259373896,426.075550476754,245.332699212781,2510.53293116002,886.493049919479,2850.76358079737,3272.25361515656,1232.92614992153,6215.55956721704,6257.48671673349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14951.7004523178
